edge,title
"('EUMETNET, European Climate Support Network', 'EEC')",FROM
"('EUMETNET, European Climate Support Network', 'r3d100010055')",FUNDING_RESPONSIBILITY
"('European Commission', 'EEC')",FROM
"('European Commission', 'r3d100010055')",FUNDING_RESPONSIBILITY
"('European Commission', 'r3d100010172')",FUNDING_RESPONSIBILITY
"('European Commission', 'r3d100011057')",FUNDING_RESPONSIBILITY
"('Royal Netherlands Meteorological Institute', 'NLD')",FROM
"('Royal Netherlands Meteorological Institute', 'r3d100010055')",TECHNICAL_RESPONSIBILITY
"('Royal Netherlands Meteorological Institute', 'r3d100010404')",TECHNICAL_RESPONSIBILITY
"('Atmospheric Science Data Center at NASA Langley Research Center', 'USA')",FROM
"('Atmospheric Science Data Center at NASA Langley Research Center', 'r3d100010061')",TECHNICAL_RESPONSIBILITY
"(""NASA's Earth Observing System Data and Information System"", 'USA')",FROM
"(""NASA's Earth Observing System Data and Information System"", 'r3d100010061')",FUNDING_RESPONSIBILITY
"('St. Lawrence Global Observatory', 'CAN')",FROM
"('St. Lawrence Global Observatory', 'r3d100010165')",TECHNICAL_RESPONSIBILITY
"('European Monitoring and Evaluation Programme', 'EEC')",FROM
"('European Monitoring and Evaluation Programme', 'r3d100010172')",FUNDING_RESPONSIBILITY
"('European Supersites for Atmospheric Aerosol Research', 'EEC')",FROM
"('European Supersites for Atmospheric Aerosol Research', 'r3d100010172')",FUNDING_RESPONSIBILITY
"('Global Earth Observation and Monitoring of the Atmosphere', 'AAA')",FROM
"('Global Earth Observation and Monitoring of the Atmosphere', 'r3d100010172')",FUNDING_RESPONSIBILITY
"('Helsinki Commission, Baltic Marine Environment Protection Commission', 'FIN')",FROM
"('Helsinki Commission, Baltic Marine Environment Protection Commission', 'r3d100010172')",FUNDING_RESPONSIBILITY
"('Norwegian Institute for Air Research', 'NOR')",FROM
"('Norwegian Institute for Air Research', 'r3d100010172')",TECHNICAL_RESPONSIBILITY
"('OSPAR Commission, Protecting and conserving the North-East Atlantic and its resources', 'EEC')",FROM
"('OSPAR Commission, Protecting and conserving the North-East Atlantic and its resources', 'r3d100010172')",FUNDING_RESPONSIBILITY
"('World Meteorological Organization, Global Atmosphere Watch', 'AAA')",FROM
"('World Meteorological Organization, Global Atmosphere Watch', 'r3d100010172')",FUNDING_RESPONSIBILITY
"('Argonne National Laboratory', 'USA')",FROM
"('Argonne National Laboratory', 'r3d100010186')",FUNDING_RESPONSIBILITY
"('Atmospheric Radiation Measurement Climate Research Facility', 'USA')",FROM
"('Atmospheric Radiation Measurement Climate Research Facility', 'r3d100010186')",TECHNICAL_RESPONSIBILITY
"('Brookhaven National Laboratory', 'USA')",FROM
"('Brookhaven National Laboratory', 'r3d100010186')",FUNDING_RESPONSIBILITY
"('Brookhaven National Laboratory', 'r3d100011676')",GENERAL_RESPONSIBILITY
"('Lawrence Berkeley National Laboratory', 'USA')",FROM
"('Lawrence Berkeley National Laboratory', 'r3d100010186')",FUNDING_RESPONSIBILITY
"('Lawrence Berkeley National Laboratory', 'r3d100011506')",TECHNICAL_RESPONSIBILITY
"('Lawrence Berkeley National Laboratory', 'r3d100013260')",TECHNICAL_RESPONSIBILITY
"('Lawrence Berkeley National Laboratory', 'r3d100011676')",GENERAL_RESPONSIBILITY
"('Lawrence Livermore National Laboratory', 'USA')",FROM
"('Lawrence Livermore National Laboratory', 'r3d100010186')",FUNDING_RESPONSIBILITY
"('Los Alamos National Laboratory', 'USA')",FROM
"('Los Alamos National Laboratory', 'r3d100010186')",FUNDING_RESPONSIBILITY
"('Los Alamos National Laboratory', 'r3d100011676')",GENERAL_RESPONSIBILITY
"('National Renewable Energy  Laboratory', 'USA')",FROM
"('National Renewable Energy  Laboratory', 'r3d100010186')",FUNDING_RESPONSIBILITY
"('Oak Ridge National Laboratory', 'USA')",FROM
"('Oak Ridge National Laboratory', 'r3d100010186')",FUNDING_RESPONSIBILITY
"('Oak Ridge National Laboratory', 'r3d100011676')",TECHNICAL_RESPONSIBILITY
"('Pacific Northwest National Laboratory', 'USA')",FROM
"('Pacific Northwest National Laboratory', 'r3d100010186')",FUNDING_RESPONSIBILITY
"('U.S. Department of Energy, Office of Science', 'USA')",FROM
"('U.S. Department of Energy, Office of Science', 'r3d100010186')",FUNDING_RESPONSIBILITY
"('Environment and Climate Change Canada', 'CAN')",FROM
"('Environment and Climate Change Canada', 'r3d100010210')",TECHNICAL_RESPONSIBILITY
"('Environment and Climate Change Canada', 'r3d100012089')",TECHNICAL_RESPONSIBILITY
"('Environment and Climate Change Canada', 'r3d100011981')",GENERAL_RESPONSIBILITY
"('Environment and Climate Change Canada', 'r3d100012090')",GENERAL_RESPONSIBILITY
"('Environment and Climate Change Canada', 'r3d100012094')",GENERAL_RESPONSIBILITY
"('Government of Canada', 'CAN')",FROM
"('Government of Canada', 'r3d100010210')",FUNDING_RESPONSIBILITY
"('Government of Canada', 'r3d100012090')",GENERAL_RESPONSIBILITY
"('EUMETSAT', 'EEC')",FROM
"('EUMETSAT', 'r3d100010232')",TECHNICAL_RESPONSIBILITY
"('Australian-New Zealand IODP Consortium', 'AUS')",FROM
"('Australian-New Zealand IODP Consortium', 'r3d100010267')",FUNDING_RESPONSIBILITY
"('Coordination for Improvement of Higher Education Personnel', 'BRA')",FROM
"('Coordination for Improvement of Higher Education Personnel', 'r3d100010267')",FUNDING_RESPONSIBILITY
"('IODP-Koordinationsbüro an der Bundesanstalt für Geowissenschaften und Rohstoffe BGR', 'DEU')",FROM
"('IODP-Koordinationsbüro an der Bundesanstalt für Geowissenschaften und Rohstoffe BGR', 'r3d100010267')",GENERAL_RESPONSIBILITY
"('India Ministry of Earth Science', 'IND')",FROM
"('India Ministry of Earth Science', 'r3d100010267')",FUNDING_RESPONSIBILITY
"('Integrated Ocean Discovery Program', 'USA')",FROM
"('Integrated Ocean Discovery Program', 'r3d100010267')",TECHNICAL_RESPONSIBILITY
"('Japan Agency for Marine-Earth Science and Technology, Center for Deep Earth Exploration', 'JPN')",FROM
"('Japan Agency for Marine-Earth Science and Technology, Center for Deep Earth Exploration', 'r3d100010267')",GENERAL_RESPONSIBILITY
"(""Japan's Ministry of Education, Culture, Sports, Science and Technology"", 'JPN')",FROM
"(""Japan's Ministry of Education, Culture, Sports, Science and Technology"", 'r3d100010267')",FUNDING_RESPONSIBILITY
"('Korea Institute of Geology, Mining and Materials', 'KOR')",FROM
"('Korea Institute of Geology, Mining and Materials', 'r3d100010267')",FUNDING_RESPONSIBILITY
"('MARUM - Zentrum für Marine Umweltwissenschaften der Universität Bremen', 'DEU')",FROM
"('MARUM - Zentrum für Marine Umweltwissenschaften der Universität Bremen', 'r3d100010267')",GENERAL_RESPONSIBILITY
"(""The People's Republic of China Ministry of Science and Technology"", 'CHN')",FROM
"(""The People's Republic of China Ministry of Science and Technology"", 'r3d100010267')",FUNDING_RESPONSIBILITY
"('National Oceanic and Atmospheric Administration', 'USA')",FROM
"('National Oceanic and Atmospheric Administration', 'r3d100010286')",TECHNICAL_RESPONSIBILITY
"('National Oceanic and Atmospheric Administration', 'r3d100010311')",GENERAL_RESPONSIBILITY
"('National Oceanic and Atmospheric Administration', 'r3d100010942')",GENERAL_RESPONSIBILITY
"('Battelle', 'USA')",FROM
"('Battelle', 'r3d100010290')",TECHNICAL_RESPONSIBILITY
"('DataONE', 'USA')",FROM
"('DataONE', 'r3d100010290')",GENERAL_RESPONSIBILITY
"('DataONE', 'r3d100010919')",GENERAL_RESPONSIBILITY
"('National Science Foundation', 'USA')",FROM
"('National Science Foundation', 'r3d100010290')",FUNDING_RESPONSIBILITY
"('National Science Foundation', 'r3d100010791')",FUNDING_RESPONSIBILITY
"('National Science Foundation', 'r3d100011010')",FUNDING_RESPONSIBILITY
"('National Science Foundation', 'r3d100011159')",FUNDING_RESPONSIBILITY
"('National Science Foundation', 'r3d100012498')",FUNDING_RESPONSIBILITY
"('National Science Foundation', 'r3d100012500')",FUNDING_RESPONSIBILITY
"('National Science Foundation', 'r3d100012585')",FUNDING_RESPONSIBILITY
"('National Science Foundation', 'r3d100012894')",FUNDING_RESPONSIBILITY
"('National Science Foundation', 'r3d100013130')",FUNDING_RESPONSIBILITY
"('National Science Foundation', 'r3d100013469')",FUNDING_RESPONSIBILITY
"('Deutsches Klimarechenzentrum GmbH', 'DEU')",FROM
"('Deutsches Klimarechenzentrum GmbH', 'r3d100010299')",TECHNICAL_RESPONSIBILITY
"('Deutsches Klimarechenzentrum GmbH', 'r3d100011966')",TECHNICAL_RESPONSIBILITY
"('International Council for Science, World Data System', 'AAA')",FROM
"('International Council for Science, World Data System', 'r3d100011966')",FUNDING_RESPONSIBILITY
"('International Council for Science, World Data System', 'r3d100010299')",GENERAL_RESPONSIBILITY
"('International Council for Science, World Data System', 'r3d100010588')",GENERAL_RESPONSIBILITY
"('National Centers for Environmental Information', 'USA')",FROM
"('National Centers for Environmental Information', 'r3d100010311')",GENERAL_RESPONSIBILITY
"('The World Bank Group', 'USA')",FROM
"('The World Bank Group', 'r3d100010379')",GENERAL_RESPONSIBILITY
"('Trust Fund for Environmentally and Socially Sustainable Development', 'NOR')",FROM
