id,title
"EUMETNET, European Climate Support Network",institutionName
European Commission,institutionName
Royal Netherlands Meteorological Institute,institutionName
Atmospheric Science Data Center at NASA Langley Research Center,institutionName
NASA's Earth Observing System Data and Information System,institutionName
St. Lawrence Global Observatory,institutionName
European Monitoring and Evaluation Programme,institutionName
European Supersites for Atmospheric Aerosol Research,institutionName
Global Earth Observation and Monitoring of the Atmosphere,institutionName
"Helsinki Commission, Baltic Marine Environment Protection Commission",institutionName
Norwegian Institute for Air Research,institutionName
"OSPAR Commission, Protecting and conserving the North-East Atlantic and its resources",institutionName
"World Meteorological Organization, Global Atmosphere Watch",institutionName
Argonne National Laboratory,institutionName
Atmospheric Radiation Measurement Climate Research Facility,institutionName
Brookhaven National Laboratory,institutionName
Lawrence Berkeley National Laboratory,institutionName
Lawrence Livermore National Laboratory,institutionName
Los Alamos National Laboratory,institutionName
National Renewable Energy  Laboratory,institutionName
Oak Ridge National Laboratory,institutionName
Pacific Northwest National Laboratory,institutionName
"U.S. Department of Energy, Office of Science",institutionName
Environment and Climate Change Canada,institutionName
Government of Canada,institutionName
EUMETSAT,institutionName
Australian-New Zealand IODP Consortium,institutionName
Coordination for Improvement of Higher Education Personnel,institutionName
IODP-Koordinationsbüro an der Bundesanstalt für Geowissenschaften und Rohstoffe BGR,institutionName
India Ministry of Earth Science,institutionName
Integrated Ocean Discovery Program,institutionName
"Japan Agency for Marine-Earth Science and Technology, Center for Deep Earth Exploration",institutionName
"Japan's Ministry of Education, Culture, Sports, Science and Technology",institutionName
"Korea Institute of Geology, Mining and Materials",institutionName
MARUM - Zentrum für Marine Umweltwissenschaften der Universität Bremen,institutionName
The People's Republic of China Ministry of Science and Technology,institutionName
National Oceanic and Atmospheric Administration,institutionName
Battelle,institutionName
DataONE,institutionName
National Science Foundation,institutionName
Deutsches Klimarechenzentrum GmbH,institutionName
"International Council for Science, World Data System",institutionName
National Centers for Environmental Information,institutionName
The World Bank Group,institutionName
Trust Fund for Environmentally and Socially Sustainable Development,institutionName
Koninklijk Nederlands Meterologisch Instituut,institutionName
"Badan Meterologi, Klimatologi, Dan Geofisika",institutionName
"Universität Hamburg, Integrated Climate Data Center",institutionName
"Universität Hamburg, KlimaCampus",institutionName
Center for Disaster Management and Risk Reduction Technology,institutionName
Karlsruher Institut für Technologie,institutionName
"Karlsruher Institut für Technologie, Institut für Meteorologie und Klimaforschung - Forschungsbereich Troposphäre",institutionName
LACUNOSA Wetterberatung,institutionName
EarthCube Council of Data Facilities,institutionName
NASA's Jet Propulsion Laboratory,institutionName
National Aeronautics and Space Administration,institutionName
NOAA Climate Observations and Monitoring (COM),institutionName
Woods Hole Oceanographic Institution,institutionName
"Chinese Academy of Sciences, Institute of Geographical Sciences and Natural Resources Research",institutionName
"Conservation International, Center for Applied Biodiversity Science, Tropical Ecology, Assessment and Monitoring Initiative",institutionName
Gordon and Betty Moore Foundation,institutionName
"University of California, San Diego, San Diego Supercomputer Center",institutionName
Bundesministerium für Verkehr und digitale Infrastruktur,institutionName
Deutscher Wetterdienst,institutionName
Global Terrestrial Network for Glaciers,institutionName
Swiss GCOS Office at the Federal Office of Meteorology and Climatology,institutionName
"University of Zurich, Department of Geography, World Glacier Monitoring Service",institutionName
WGMS National correspondents,institutionName
"United Kingdom's Department for Business, Innovation and Skills, Met Office",institutionName
University Corporation for Atmospheric Research,institutionName
"Columbia University, Earth Institute, International Research Institute for Climate and Society",institutionName
NOAA Climate Program Office,institutionName
"NASA, California Institute of Technology, Jet Propulsion Laboratory",institutionName
Goddard Space Flight Center,institutionName
Japan Aerospace Exploration Agency,institutionName
NASA,institutionName
"National Aeronautics and Space Administration, Earth Data",institutionName
"Australian Government, Australian Institute of Marine Science",institutionName
"Australian Government, Bureau of Meteorology",institutionName
"Australian Government, Department of Education and Training, National Collaborative Research Infrastructure Strategy",institutionName
"Australian Government, Department of the Environment, Australian Antarctic Division",institutionName
"Australian Government, Geoscience Australia",institutionName
"Commonwealth Science and Industrial Research Organisation, Oceans and Atmosphere",institutionName
Integrated Marine Observing System,institutionName
Royal Australian Navy,institutionName
University of Tasmania,institutionName
National Research Infrastructure Strategy,institutionName
Partners of TERN,institutionName
"University of Queensland, Terrestrial Ecosystem Research Network",institutionName
Applied Climate Information System,institutionName
"NOAA, Desert Research Institute",institutionName
"Columbia University, Earth Institute, Lamont-Doherty Earth Observatory",institutionName
"University of Alaska Fairbanks, Geophysical Institute",institutionName
IASOA consortium,institutionName
"U.S. Department of Commerce, National Oceanic and Atmospheric Administration, Earth System Research Laboratory, Global Monitoring Division",institutionName
"National Oceanic and Atmospheric Administration, National Weather Service",institutionName
"University of Colorado, Cooperative Institute for Research in Environmental Sciences, Steffen research group",institutionName
Norwegian Meteorological Institute,institutionName
NARSTO Qualty Systems Science Center,institutionName
"NASA Langley Research Center, Atmospheric Science Data Center",institutionName
"U. S. Department of Commerce, National Oceanic and Atmospheric Administration, Global Monitoring Division, Earth System Research Laboratory",institutionName
"European Commission, Community Research and Development Information Service, Seventh Framework Programme",institutionName
European Environment Agency,institutionName
European Space Agency,institutionName
Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences,institutionName
NOAA Partners,institutionName
"National Oceanic and Atmospheric Administration, National Weather Service, Climate Prediction Center",institutionName
"Consultative Group on International Agricultural Research,  Research Program on Climate Change, Agriculture and Food Security",institutionName
"European Commission, Community Research and Development Information Service,  FP7",institutionName
The Cyprus Institute,institutionName
"Department of Energy's Scientific Discovery, Advanced Computing program",institutionName
Earth System Grid Federation,institutionName
"Oregon State University, Northwest Alliance for Computational Science & Engineering",institutionName
"Oregon State University, PRISM Climate Group",institutionName
"United States Department of Agriculture, Risk Management Agency",institutionName
Alfred Wegener Institute - Helmholtz Centre for Polar and Marine Research,institutionName
Deutsches Klimarechenzentrum,institutionName
Federal Ministry of Education and Research,institutionName
FLUXNET,institutionName
"Australian Government, National Collaborative Research Infrastructure Strategy Program",institutionName
"Australian Museum, Dr. Shane F. McEvey",institutionName
Australian National Data Service,institutionName
"CSIRO, Black Mountain Laboratories, Oakeshott Lab",institutionName
"Monash University, Dr. Carla Sgrò's Research Group",institutionName
NeCTAR,institutionName
Science and Industry Endowment Fund,institutionName
"University College London, Institute of Healthy Ageing, Partridge Lab",institutionName
"University of Melbourne Library, eScholarship Research Centre",institutionName
VicNode,institutionName
"Australian Government, Department of Education and Training, Education Investment Fund, Super Science Initiative",institutionName
"Australian Government, Department of Education and Training, National Collaborative Research Infrastructure",institutionName
Australian Research Council,institutionName
Murray-Darling Basin Authority,institutionName
"New South Wales Government, Department of Primary Industries",institutionName
"University of Technology, Sydney",institutionName
Eumetsat,institutionName
European Centre for Medium Weather Forecast,institutionName
Royal Meteorological Institute of Belgium,institutionName
Institut Pierre Simon Laplace,institutionName
MISTRALS,institutionName
"Observatoire Midi-Pyrénées, Service de Données de l'OMP",institutionName
"University of Lille, ICARE Data and Services Center",institutionName
"Oak Ridge National Laboratory, Energy and Environmental Sciences, Environmental Sciences Division",institutionName
Sandia National Laboratory,institutionName
"U.S.Department of Energy, Office of Science",institutionName
University of Alaska Fairbanks,institutionName
University of Nebraska Lincoln,institutionName
University of New Hampshire,institutionName
