edge,title
"('r3d100010055', 'eng')",WRITTEN_IN
"('r3d100010055', '3 Natural Sciences')",ABOUT
"('r3d100010055', '313 Atmospheric Science and Oceanography')",ABOUT
"('r3d100010055', '34 Geosciences (including Geography)')",ABOUT
"('r3d100010055', 'climate')",CONTAINS
"('r3d100010055', 'weather')",CONTAINS
"('r3d100010055', 'Archived data')",HAS_CONTENT
"('r3d100010055', 'Images')",HAS_CONTENT
"('r3d100010055', 'Raw data')",HAS_CONTENT
"('r3d100010055', 'Scientific and statistical data formats')",HAS_CONTENT
"('r3d100010055', 'Standard office documents')",HAS_CONTENT
"('r3d100010055', 'Structured text')",HAS_CONTENT
"('r3d100010055', 'serviceProvider')",HAS_PROVIDER_TYPE
"('r3d100010061', 'eng')",WRITTEN_IN
"('r3d100010061', '3 Natural Sciences')",ABOUT
"('r3d100010061', '313 Atmospheric Science and Oceanography')",ABOUT
"('r3d100010061', '31301 Atmospheric Science')",ABOUT
"('r3d100010061', '34 Geosciences (including Geography)')",ABOUT
"('r3d100010061', 'CALIPSO')",CONTAINS
"('r3d100010061', 'CERES')",CONTAINS
"('r3d100010061', 'Global climate change')",CONTAINS
"('r3d100010061', 'ISCCP')",CONTAINS
"('r3d100010061', 'MOPITT')",CONTAINS
"('r3d100010061', 'SRB')",CONTAINS
"('r3d100010061', 'TES')",CONTAINS
"('r3d100010061', 'aerosols')",CONTAINS
"('r3d100010061', 'astrophysics')",CONTAINS
"('r3d100010061', 'atmospheric chemistry')",CONTAINS
"('r3d100010061', 'clouds')",CONTAINS
"('r3d100010061', 'meteorology')",CONTAINS
"('r3d100010061', 'radiation budget')",CONTAINS
"('r3d100010061', 'satellite program')",CONTAINS
"('r3d100010061', 'tropospheric chemistry')",CONTAINS
"('r3d100010061', 'Archived data')",HAS_CONTENT
"('r3d100010061', 'Audiovisual data')",HAS_CONTENT
"('r3d100010061', 'Databases')",HAS_CONTENT
"('r3d100010061', 'Images')",HAS_CONTENT
"('r3d100010061', 'Raw data')",HAS_CONTENT
"('r3d100010061', 'Scientific and statistical data formats')",HAS_CONTENT
